Year,Strata_TimeID,Strata,Report_Group,grpID,Mean,SD,95CIL,95CIU
2024,199,1,Total Summer,2,0.99681,0.00467,0.98298,1
2024,199,1,Lower Summer,4,0.94799,0.05725,0.812,1
2024,199,1,Middle Summer,5,0.04812,0.05709,0,0.184
2024,199,1,UppKoy+Main,7,0.04736,0.05707,0,0.184
2024,199,1,Tanana Summer,8,0.00083,0.00307,0,0.008
2024,199,1,Total Fall,9,0.00319,0.00468,0,0.017
2024,199,1,Tanana Fall,10,0.00126,0.00278,0,0.009
2024,199,1,Border US,11,0.0009,0.00239,0,0.007
2024,199,1,Border CA,12,0.00094,0.00216,0,0.007
2024,199,1,Porcupine CA,13,0.00021,0.00099,0,0.002
2024,199,1,Mainstem CA,14,0.00078,0.00194,0,0.006
2024,199,1,Upper Canada,1,0.00063,0.00179,0,0.005
2024,199,1,White UC,3,0.00044,0.00148,0,0.004
2024,199,1,Teslin UC,6,0.00023,0.00106,0,0.002
2024,199,1,Fall US,15,0.00198,0.00368,0,0.01202
2024,199,1,Mainstem+Upper CA,16,0.00127,0.00261,0,0.009
2024,199,1,Border US+Canada,17,0.00212,0.00367,0,0.013
2024,199,1,Total USA,18,0.99858,0.00276,0.99,1
2024,199,1,Total Canada,19,0.00142,0.00279,0,0.01
2024,200,2,Total Summer,2,0.99434,0.00805,0.971,1
2024,200,2,Lower Summer,4,0.91348,0.06201,0.772,0.991
2024,200,2,Middle Summer,5,0.08025,0.06231,0.001,0.224
2024,200,2,UppKoy+Main,7,0.07495,0.06308,0,0.22102
2024,200,2,Tanana Summer,8,0.00533,0.0105,0,0.037
2024,200,2,Total Fall,9,0.00566,0.00806,0,0.02802
2024,200,2,Tanana Fall,10,0.00119,0.00263,0,0.009
2024,200,2,Border US,11,0.00325,0.00724,0,0.026
2024,200,2,Border CA,12,0.00102,0.00232,0,0.008
2024,200,2,Porcupine CA,13,0.00016,0.00065,0,0.001
2024,200,2,Mainstem CA,14,0.00092,0.00226,0,0.008
2024,200,2,Upper Canada,1,0.0007,0.0018,0,0.006
2024,200,2,White UC,3,0.0003,0.00086,0,0.002
2024,200,2,Teslin UC,6,0.00043,0.00159,0,0.005
2024,200,2,Fall US,15,0.00427,0.00757,0,0.027
2024,200,2,Mainstem+Upper CA,16,0.00148,0.00283,0,0.01
2024,200,2,Border US+Canada,17,0.00465,0.00773,0,0.027
2024,200,2,Total USA,18,0.99843,0.00286,0.99,1
2024,200,2,Total Canada,19,0.00157,0.00288,0,0.01
2024,201,3,Total Summer,2,0.95876,0.01823,0.918,0.989
2024,201,3,Lower Summer,4,0.70477,0.06451,0.57998,0.829
2024,201,3,Middle Summer,5,0.25372,0.0663,0.125,0.383
2024,201,3,UppKoy+Main,7,0.12189,0.06701,0,0.255
2024,201,3,Tanana Summer,8,0.13169,0.03125,0.074,0.197
2024,201,3,Total Fall,9,0.04124,0.01823,0.011,0.082
2024,201,3,Tanana Fall,10,0.00293,0.00609,0,0.022
2024,201,3,Border US,11,0.02998,0.02019,0,0.072
2024,201,3,Border CA,12,0.00788,0.01196,0,0.041
2024,201,3,Porcupine CA,13,0.00165,0.00564,0,0.021
2024,201,3,Mainstem CA,14,0.00629,0.01103,0,0.039
2024,201,3,Upper Canada,1,0.00075,0.00212,0,0.006
2024,201,3,White UC,3,0.00034,0.00099,0,0.003
2024,201,3,Teslin UC,6,0.00045,0.00189,0,0.005
2024,201,3,Fall US,15,0.03281,0.02072,0,0.076
2024,201,3,Mainstem+Upper CA,16,0.00691,0.01125,0,0.04
2024,201,3,Border US+Canada,17,0.03841,0.01767,0.009,0.077
2024,201,3,Total USA,18,0.99151,0.01213,0.958,1
2024,201,3,Total Canada,19,0.00849,0.01215,0,0.042
