Date,CHINOOK,JACK,ALLCHINOOK,SCHUM,FCHUM,COHO,PINK,CISCO,BROAD,HUMPBACK,SHEEFISH,OTHER,ALLOTHER,TOTAL
5/31/2021,337,0,337,0,0,0,0,554,1350,582,1478,1027,4991,5328
6/1/2021,328,0,328,0,0,0,0,471,1213,515,1232,909,4340,4668
6/2/2021,285,0,285,0,0,0,0,1423,419,603,382,646,3473,3758
6/3/2021,315,0,315,0,0,0,0,1581,442,556,477,665,3721,4036
6/4/2021,448,116,564,0,0,0,0,1036,678,411,667,520,3312,3876
6/5/2021,406,98,504,0,0,0,0,873,584,362,566,438,2823,3327
6/6/2021,1449,0,1449,87,0,0,0,206,360,221,756,613,2156,3692
6/7/2021,645,0,645,531,0,0,0,221,387,1548,277,655,3088,4264
6/8/2021,2479,0,2479,0,0,0,0,0,337,79,472,698,1586,4065
6/9/2021,2966,537,3503,436,0,0,0,67,107,838,386,296,1694,5633
6/10/2021,2588,450,3038,1291,0,0,0,117,0,352,138,713,1320,5649
6/11/2021,2260,191,2451,0,0,0,0,128,0,1285,1014,959,3386,5837
6/12/2021,765,145,910,1554,0,0,0,1388,693,204,676,464,3425,5889
6/13/2021,3015,455,3470,622,0,0,0,1041,395,211,70,480,2197,6289
6/14/2021,1518,106,1624,1035,0,0,0,580,0,995,890,612,3077,5736
6/15/2021,1112,0,1112,1173,0,0,0,303,0,515,1466,685,2969,5254
6/16/2021,1093,0,1093,1167,0,0,0,105,0,329,1276,1063,2773,5033
6/17/2021,2420,162,2582,0,0,0,0,773,0,360,1423,921,3477,6059
6/18/2021,3141,181,3322,2855,0,0,0,427,0,239,450,1257,2373,8550
6/19/2021,3272,546,3818,2663,0,0,0,841,58,452,731,707,2789,9270
6/20/2021,4099,668,4767,914,0,0,0,0,46,462,1132,233,1873,7554
6/21/2021,2882,954,3836,2344,0,0,0,0,64,55,1348,725,2192,8372
6/22/2021,1744,606,2350,1360,0,0,0,478,27,23,735,1472,2735,6445
6/23/2021,1215,657,1872,1603,0,0,0,926,180,470,1092,746,3414,6889
6/24/2021,2583,161,2744,2913,0,0,0,908,0,672,550,543,2673,8330
6/25/2021,1497,503,2000,1094,0,0,0,809,579,316,981,1487,4172,7266
6/26/2021,3682,225,3907,1490,0,0,0,854,370,801,1695,621,4341,9738
6/27/2021,2423,177,2600,3806,0,0,0,1383,446,1341,688,209,4067,10473
6/28/2021,2746,620,3366,1550,0,0,0,1739,663,1153,583,0,4138,9054
6/29/2021,4460,1098,5558,5301,0,0,0,716,610,1148,506,0,2980,13839
6/30/2021,5188,697,5885,7936,0,0,0,806,207,799,639,577,3028,16849
7/1/2021,4895,1633,6528,9754,0,0,0,338,218,254,472,731,2013,18295
7/2/2021,3819,1016,4835,5791,0,0,0,707,100,225,403,1397,2832,13458
7/3/2021,4622,1516,6138,3733,0,0,0,997,0,1809,334,0,3140,13011
